id,bank_id,cinema_id,vendor_id,created_date,created_by,bank_identity,bank_identity_hash
1,3,7,2,2025-12-03 17:33:29.000000,system,user001@bank.com,c23162ffc1a535af2ee0958846919481
2,3,8,2,2025-10-28 17:33:29.000000,system,user002@bank.com,e3ce8de04a926e54c5a1f64b1babd835
3,7,8,6,2025-11-10 17:33:29.000000,system,user003@bank.com,1bafcb67e3009476f422803e3bda7fd9
4,7,4,2,2025-12-11 17:33:29.000000,system,user004@bank.com,ef892ecf414a9d0497e7cf1636c0b0e4
5,4,3,5,2025-09-20 17:33:29.000000,system,user005@bank.com,beaa651892ab94db191478989226d6e9
6,5,1,3,2025-11-02 17:33:29.000000,system,user006@bank.com,f8ef0595a4b6508736bfde713027b57e
7,7,6,2,2025-11-04 17:33:29.000000,system,user007@bank.com,5b7f93ad974636b90b9123170e0354dc
8,2,7,2,2025-10-17 17:33:29.000000,system,user008@bank.com,831b8c438fd7731e8318a8347c9c8723
9,7,3,4,2025-11-04 17:33:29.000000,system,user009@bank.com,e3adc91f1de618b3a9be36acc1cabb8f
10,4,6,4,2025-12-02 17:33:29.000000,system,user010@bank.com,7f7e89b08036415f53f9b44afb3c5203
11,3,2,1,2025-12-10 17:33:29.000000,system,user011@bank.com,e2749b87ca12e4442c398af65237a7de
12,1,6,4,2025-11-09 17:33:29.000000,system,user012@bank.com,bfcc2f63d1e28af8ff6bb35f275c82a3
13,8,8,4,2025-11-20 17:33:29.000000,system,user013@bank.com,67d2edfc7f835e47ddad571818de648e
14,4,4,5,2025-10-30 17:33:29.000000,system,user014@bank.com,9ae6e8ec4af24359c97cd665c9179ce9
15,5,4,4,2025-11-15 17:33:29.000000,system,user015@bank.com,8347c9ccdc3c5638455e24215833bd97
16,5,8,3,2025-11-30 17:33:29.000000,system,user016@bank.com,9c11e7938e1e8f68da5fc5f7d8d2dab7
17,1,2,3,2025-12-03 17:33:29.000000,system,user017@bank.com,e6682d93ff2306b1246683d51c73ac81
18,2,6,1,2025-10-28 17:33:29.000000,system,user018@bank.com,92c066bf55c1b5aabc1e184d6c12a668
19,3,8,4,2025-11-03 17:33:29.000000,system,user019@bank.com,1924aa5828b2ad4fcc8b97a9e1623dd5
20,1,6,5,2025-11-08 17:33:29.000000,system,user020@bank.com,cd4cd7099d4359023bfc92d0df881be0
