id,order_id,bank_id,device_type,device_name,emei,latitude,longitude,os_version,ip_address,created_date,sdk_version,bank_identity,bank_identity_hash
1,1,8,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.162,2025-12-04 17:33:29.000000,v5.5,user1,0a041b9462caa4a31bac3567e0b6e6fd
2,2,7,IOS,IOS Device,EMEI123456,21.0285,105.8542,10.0,192.168.1.35,2025-11-27 17:33:29.000000,v5.7,user2,6025d18fe48abd45168528f18a82e265
3,3,5,WEB,WEB Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.6,2025-12-05 17:33:29.000000,v2.0,user3,5860faf02b6bc6222ba5aca523560f0e
4,4,5,IOS,IOS Device,EMEI123456,21.0285,105.8542,10.0,192.168.1.193,2025-12-04 17:33:29.000000,v3.6,user4,5269ef980de47819ba3d14340f466526
5,5,8,WEB,WEB Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.76,2025-12-04 17:33:29.000000,v3.0,user5,5a39bead318f306939acb1d016647be2
6,6,6,WEB,WEB Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.40,2025-12-08 17:33:29.000000,v4.2,user6,ecb48a1cc94f951252ec462fe9ecc55c
7,7,1,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.233,2025-12-01 17:33:29.000000,v2.5,user7,3268151e52d97b4cacf97f5b46a5c76c
8,8,5,IOS,IOS Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.121,2025-11-20 17:33:29.000000,v3.3,user8,f60afa4989a7db13314a2ab988137263
9,9,3,IOS,IOS Device,EMEI123456,21.0285,105.8542,11.0,192.168.1.232,2025-12-11 17:33:29.000000,v4.3,user9,0fb8d3c5dfaf81a387bf0ba439ab40e6
10,10,2,IOS,IOS Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.24,2025-11-16 17:33:29.000000,v1.8,user10,5bbf1a9e0de062225a1bb7df8d8b3719
11,11,1,IOS,IOS Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.195,2025-11-13 17:33:29.000000,v2.2,user11,81115e31e22a5801b197750ec12d7a51
12,12,6,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.178,2025-12-05 17:33:29.000000,v5.5,user12,bd35283fe8fcfd77d7c05a8bf2adb85c
13,13,3,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.89,2025-12-06 17:33:29.000000,v2.7,user13,1834e148b518a43a37e04a4e4fbcee1e
