id,order_id,order_refund_id,original_id,type,subject,content,status,server_response_data,created_date,modified_date,modified_by,created_by,created_by_hash,receiver,receiver_hash,sender,sender_hash
1,1,,,CONFIRMATION,Xác nhận đơn hàng #1,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-18 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user1@email.com,0a041b9462caa4a31bac3567e0b6e6fd,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
2,2,,,CONFIRMATION,Xác nhận đơn hàng #2,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user2@email.com,6025d18fe48abd45168528f18a82e265,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
3,3,,,CONFIRMATION,Xác nhận đơn hàng #3,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-28 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user3@email.com,5860faf02b6bc6222ba5aca523560f0e,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
4,4,,,CONFIRMATION,Xác nhận đơn hàng #4,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user4@email.com,5269ef980de47819ba3d14340f466526,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
5,5,,,CONFIRMATION,Xác nhận đơn hàng #5,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-30 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user5@email.com,5a39bead318f306939acb1d016647be2,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
6,6,,,CONFIRMATION,Xác nhận đơn hàng #6,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-22 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user6@email.com,ecb48a1cc94f951252ec462fe9ecc55c,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
7,7,,,CONFIRMATION,Xác nhận đơn hàng #7,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-11 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user7@email.com,3268151e52d97b4cacf97f5b46a5c76c,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
8,8,,,CONFIRMATION,Xác nhận đơn hàng #8,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user8@email.com,f60afa4989a7db13314a2ab988137263,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
9,9,,,CONFIRMATION,Xác nhận đơn hàng #9,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user9@email.com,0fb8d3c5dfaf81a387bf0ba439ab40e6,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
10,10,,,CONFIRMATION,Xác nhận đơn hàng #10,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user10@email.com,5bbf1a9e0de062225a1bb7df8d8b3719,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
11,11,,,CONFIRMATION,Xác nhận đơn hàng #11,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-05 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user11@email.com,81115e31e22a5801b197750ec12d7a51,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
12,12,,,CONFIRMATION,Xác nhận đơn hàng #12,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user12@email.com,bd35283fe8fcfd77d7c05a8bf2adb85c,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
13,13,,,CONFIRMATION,Xác nhận đơn hàng #13,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-04 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user13@email.com,1834e148b518a43a37e04a4e4fbcee1e,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
14,14,,,CONFIRMATION,Xác nhận đơn hàng #14,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-25 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user14@email.com,daf7996f88742675acb3d0f85a8069d0,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
15,15,,,CONFIRMATION,Xác nhận đơn hàng #15,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user15@email.com,2b8b66f64b605318593982b059a08dae,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
16,16,,,CONFIRMATION,Xác nhận đơn hàng #16,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-28 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user16@email.com,4de4153595c0977d2389d0880547bd3a,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
17,17,,,CONFIRMATION,Xác nhận đơn hàng #17,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user17@email.com,2a60ff641c890283b1d070f827cf9c0c,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
18,18,,,CONFIRMATION,Xác nhận đơn hàng #18,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user18@email.com,ebc835d1b43e63d1ba35af810da3a23e,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
19,19,,,CONFIRMATION,Xác nhận đơn hàng #19,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-24 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user19@email.com,0b6ecb3aa9b23589fb9e314b46c832d9,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
20,20,,,CONFIRMATION,Xác nhận đơn hàng #20,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-05 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user20@email.com,7febe54e79096749ac43dc6c2e3e5d4d,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
21,21,,,CONFIRMATION,Xác nhận đơn hàng #21,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user21@email.com,8fab3a60577befd765cde83f2737cd1a,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
22,22,,,CONFIRMATION,Xác nhận đơn hàng #22,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-02 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user22@email.com,b999205cdacd2c4516598d99b420d297,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
23,23,,,CONFIRMATION,Xác nhận đơn hàng #23,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-30 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user23@email.com,2a0fff6e36fbc6a21f7b065f24a3ffb4,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
24,24,,,CONFIRMATION,Xác nhận đơn hàng #24,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user24@email.com,65303a0ec5984ab62d102031a5c9be89,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
25,25,,,CONFIRMATION,Xác nhận đơn hàng #25,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-18 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user25@email.com,dab53605c85e2eff2f2192e08b772cbc,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
26,26,,,CONFIRMATION,Xác nhận đơn hàng #26,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-02 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user26@email.com,6356b9f65e6e775b3feb7996bd3e1ba3,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
27,27,,,CONFIRMATION,Xác nhận đơn hàng #27,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-21 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user27@email.com,590b1a8287729e75223a77d4f64fb13d,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
28,28,,,CONFIRMATION,Xác nhận đơn hàng #28,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user28@email.com,fdc86230e908634cb03015f1a016ffa1,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
29,29,,,CONFIRMATION,Xác nhận đơn hàng #29,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-08 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user29@email.com,df3c4035da126a48f484133358bedf23,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
30,30,,,CONFIRMATION,Xác nhận đơn hàng #30,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-12 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user30@email.com,601fbd496628a2a8ad6186af757273b1,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
31,31,,,CONFIRMATION,Xác nhận đơn hàng #31,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user31@email.com,4ccb2f3b57e6de1caea8475b13fb5c96,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
32,32,,,CONFIRMATION,Xác nhận đơn hàng #32,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user32@email.com,54a2979a455bec056285887a8137d1bf,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
33,33,,,CONFIRMATION,Xác nhận đơn hàng #33,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-26 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user33@email.com,f81e0105e6dcdf3f2e2041d119d1c87b,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
34,34,,,CONFIRMATION,Xác nhận đơn hàng #34,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user34@email.com,4d4ec9499ab2bce1c5c8a565004ac27d,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
35,35,,,CONFIRMATION,Xác nhận đơn hàng #35,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user35@email.com,3dd5329b7396fda1de5878a24ab7ca98,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
36,36,,,CONFIRMATION,Xác nhận đơn hàng #36,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user36@email.com,06f01542cd526fcfd7624cf9fca3e0e3,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
37,37,,,CONFIRMATION,Xác nhận đơn hàng #37,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-11 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user37@email.com,9c10f9996d42387555f8008224c0b8ff,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
38,38,,,CONFIRMATION,Xác nhận đơn hàng #38,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-17 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user38@email.com,85a20bcfad4e8153d5fd624c87ed0ae6,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
39,39,,,CONFIRMATION,Xác nhận đơn hàng #39,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user39@email.com,dd69a400ddf28026fe94595eafadd0d1,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
40,40,,,CONFIRMATION,Xác nhận đơn hàng #40,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-02 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user40@email.com,39a6bd68eee930e937ba05904fd43794,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
41,41,,,CONFIRMATION,Xác nhận đơn hàng #41,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-26 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user41@email.com,ce063ef25241f49ef0adef10d7c2ba91,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
42,42,,,CONFIRMATION,Xác nhận đơn hàng #42,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-30 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user42@email.com,fb44d98b9d56bbe49028eacc8574f571,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
43,43,,,CONFIRMATION,Xác nhận đơn hàng #43,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user43@email.com,f02916fe22baf673a04bc322efd5efc1,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
44,44,,,CONFIRMATION,Xác nhận đơn hàng #44,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-22 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user44@email.com,0d28f6929860381621e417f808a811e8,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
45,45,,,CONFIRMATION,Xác nhận đơn hàng #45,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-24 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user45@email.com,435fa81d2e3e34b76e40154d878de9f7,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
46,46,,,CONFIRMATION,Xác nhận đơn hàng #46,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-23 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user46@email.com,47a268f40a503fc100a1b3ab3413d241,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
47,47,,,CONFIRMATION,Xác nhận đơn hàng #47,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-25 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user47@email.com,8a43bbd15dc9d40eb8556bc68608a3be,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
48,48,,,CONFIRMATION,Xác nhận đơn hàng #48,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user48@email.com,70df126f7888b99fd00f45feae219ac1,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
49,49,,,CONFIRMATION,Xác nhận đơn hàng #49,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user49@email.com,62752906d749b398b283bb8faa750cc4,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
50,50,,,CONFIRMATION,Xác nhận đơn hàng #50,Nội dung email,SUCCESS,"{""status"":""sent""}",2025-11-16 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,user50@email.com,59ea123c0d70b150939706c1ed9822e7,noreply@vnpay.vn,c032f1b2c07148d5c19afa6c6dcaef99
