id,order_id,order_refund_id,original_id,type,content,status,server_response_data,created_date,modified_date,modified_by,created_by,created_by_hash,receiver,receiver_hash
1,1,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-10 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234001,028d5e56f4660fc0b02b908e894a2d3f
2,2,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234002,38e9939a4257296693bb7e3b26104482
3,3,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-12 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234003,ca62aa9082f76d4a8cd82eed6f0946dd
4,4,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-17 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234004,9698001c4751b27317de8ac8fdf9ba94
5,5,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234005,8194589d2a5edca55abd15e570706287
6,6,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-16 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234006,57045ed6b4622ac7ce0dd5e9c224db12
7,7,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234007,78b7a97744909da91456d5f1f56ed80b
8,8,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-25 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234008,1c68117e9025dac08fe7c0887abee019
9,9,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-06 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234009,9330b552c6bb5ac67d4f4be7a082633c
10,10,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-16 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234010,2a7541b5764761ba4ffac4e5171c568c
11,11,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-16 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234011,48e7f0dd99f06c958c9002868383b97e
12,12,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-05 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234012,d0e66c629247bbdceed729cef5e8b0bb
13,13,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234013,70c2a6282e83dd0ab6c910fa0a2c2cba
